,Thrust(kg),x(m),L(m),mu,c(m),m0(kg),r(m),W_no_sliding_stationary_min(kg),W_no_toppling_stationary_max(kg),Motor_min(kg*m),Motor_max(kg*m),stationary_running_match,f<=mu*N
0,2.5,0.1,0.2,0.3,0.1,0.01,0.08,0.75,2.5,0.2943,0.981,Yes,Yes
1,2.5,0.2,0.4,0.3,0.1,0.01,0.08,0.75,5,0.2943,1.962,Yes,Yes
2,2.5,0.15,0.3,0.3,0.1,0.01,0.08,0.75,3.75,0.2943,1.4715,Yes,No
3,2.5,0.2,0.3,0.3,0.1,0.01,0.08,0.75,5,0.2943,1.962,Yes,Yes
4,2.5,0.15,0.2,0.3,0.1,0.01,0.08,0.75,3.75,0.2943,1.4715,Yes,Yes
5,2.5,0.1,0.15,0.3,0.1,0.01,0.08,0.75,2.5,0.2943,0.981,Yes,Yes
6,2.5,0.2,0.4,0.3,0.08,0.1,0.08,0.75,6.25,0.2943,2.4525,Yes,No
7,2.5,0.15,0.3,0.3,0.08,0.1,0.08,0.75,4.6875,0.2943,1.839375,Yes,No
8,2.5,0.1,0.2,0.3,0.08,0.01,0.08,0.75,3.125,0.2943,1.22625,Yes,Yes
9,2.5,0.2,0.3,0.3,0.08,0.01,0.08,0.75,6.25,0.2943,2.4525,Yes,Yes
10,2.5,0.15,0.2,0.3,0.08,0.01,0.08,0.75,4.6875,0.2943,1.839375,Yes,Yes
11,2.5,0.1,0.15,0.3,0.08,0.01,0.08,0.75,3.125,0.2943,1.22625,Yes,Yes
12,2,0.1,0.2,0.3,0.08,0.01,0.08,0.6,2.5,0.23544,0.981,Yes,Yes
13,1.5,0.1,0.2,0.3,0.08,0.01,0.08,0.45,1.875,0.17658,0.73575,Yes,Yes
14,1,0.1,0.2,0.3,0.08,0.01,0.08,0.3,1.25,0.11772,0.4905,Yes,Yes
15,2.25,0.1,0.2,0.3,0.08,0.01,0.08,0.675,2.8125,0.26487,1.103625,Yes,Yes
16,2.75,0.1,0.2,0.3,0.08,0.01,0.08,0.825,3.4375,0.32373,1.348875,Yes,Yes
17,2.3,0.1,0.2,0.3,0.08,0.01,0.08,0.69,2.875,0.270756,1.12815,Yes,Yes
18,2.1,0.1,0.2,0.3,0.08,0.01,0.08,0.63,2.625,0.247212,1.03005,Yes,Yes
19,2.2,0.1,0.2,0.3,0.08,0.01,0.08,0.66,2.75,0.258984,1.0791,Yes,Yes
20,2.4,0.1,0.2,0.3,0.08,0.01,0.08,0.72,3,0.282528,1.1772,Yes,Yes
21,1.9,0.1,0.2,0.3,0.08,0.01,0.08,0.57,2.375,0.223668,0.93195,Yes,Yes
22,1.8,0.1,0.2,0.3,0.08,0.01,0.08,0.54,2.25,0.211896,0.8829,Yes,Yes
23,1.7,0.1,0.2,0.3,0.08,0.01,0.08,0.51,2.125,0.200124,0.83385,Yes,Yes
24,1.6,0.1,0.2,0.3,0.08,0.01,0.08,0.48,2,0.188352,0.7848,Yes,Yes
25,1.5,0.1,0.2,0.3,0.08,0.01,0.08,0.45,1.875,0.17658,0.73575,Yes,Yes
26,2.5,0.1,0.2,0.3,0.08,0.01,0.08,0.75,3.125,0.2943,1.22625,Yes,Yes
27,2,0.1,0.15,0.3,0.07,0.01,0.08,0.6,2.85714285714286,0.23544,1.12114285714286,Yes,Yes
28,1.5,0.1,0.15,0.3,0.07,0.01,0.08,0.45,2.14285714285714,0.17658,0.840857142857143,Yes,Yes
29,1,0.1,0.15,0.3,0.07,0.01,0.08,0.3,1.42857142857143,0.11772,0.560571428571429,Yes,Yes
30,2.25,0.1,0.15,0.3,0.07,0.01,0.08,0.675,3.21428571428571,0.26487,1.26128571428571,Yes,Yes
31,2.75,0.1,0.15,0.3,0.07,0.01,0.08,0.825,3.92857142857143,0.32373,1.54157142857143,Yes,Yes
32,2.3,0.1,0.15,0.3,0.07,0.01,0.08,0.69,3.28571428571429,0.270756,1.28931428571429,Yes,Yes
33,2.1,0.1,0.15,0.3,0.07,0.01,0.08,0.63,3,0.247212,1.1772,Yes,Yes
34,2.2,0.1,0.15,0.3,0.07,0.01,0.08,0.66,3.14285714285714,0.258984,1.23325714285714,Yes,Yes
35,2.4,0.1,0.15,0.3,0.07,0.01,0.08,0.72,3.42857142857143,0.282528,1.34537142857143,Yes,Yes
36,1.9,0.1,0.15,0.3,0.07,0.01,0.08,0.57,2.71428571428571,0.223668,1.06508571428571,Yes,Yes
37,1.8,0.1,0.15,0.3,0.07,0.01,0.08,0.54,2.57142857142857,0.211896,1.00902857142857,Yes,Yes
38,1.7,0.1,0.15,0.3,0.07,0.01,0.08,0.51,2.42857142857143,0.200124,0.952971428571429,Yes,Yes
39,1.6,0.1,0.15,0.3,0.07,0.01,0.08,0.48,2.28571428571429,0.188352,0.896914285714286,Yes,Yes
40,1.5,0.1,0.15,0.3,0.07,0.01,0.08,0.45,2.14285714285714,0.17658,0.840857142857143,Yes,Yes
41,2.5,0.1,0.15,0.3,0.07,0.01,0.08,0.75,3.57142857142857,0.2943,1.40142857142857,Yes,Yes
42,2,0.1,0.15,0.3,0.06,0.01,0.08,0.6,3.33333333333333,0.23544,1.308,Yes,Yes
43,1.5,0.1,0.15,0.3,0.06,0.01,0.08,0.45,2.5,0.17658,0.981,Yes,Yes
44,1,0.1,0.15,0.3,0.06,0.01,0.08,0.3,1.66666666666667,0.11772,0.654,Yes,Yes
45,2.25,0.1,0.15,0.3,0.06,0.01,0.08,0.675,3.75,0.26487,1.4715,Yes,Yes
46,2.75,0.1,0.15,0.3,0.06,0.01,0.08,0.825,4.58333333333333,0.32373,1.7985,Yes,Yes
47,2.3,0.1,0.15,0.3,0.06,0.01,0.08,0.69,3.83333333333333,0.270756,1.5042,Yes,Yes
48,2.1,0.1,0.15,0.3,0.06,0.01,0.08,0.63,3.5,0.247212,1.3734,Yes,Yes
49,2.2,0.1,0.15,0.3,0.06,0.01,0.08,0.66,3.66666666666667,0.258984,1.4388,Yes,Yes
50,2.4,0.1,0.15,0.3,0.06,0.01,0.08,0.72,4,0.282528,1.5696,Yes,Yes
51,1.9,0.1,0.15,0.3,0.06,0.01,0.08,0.57,3.16666666666667,0.223668,1.2426,Yes,Yes
52,1.8,0.1,0.15,0.3,0.06,0.01,0.08,0.54,3,0.211896,1.1772,Yes,Yes
53,1.7,0.1,0.15,0.3,0.06,0.01,0.08,0.51,2.83333333333333,0.200124,1.1118,Yes,Yes
54,1.6,0.1,0.15,0.3,0.06,0.01,0.08,0.48,2.66666666666667,0.188352,1.0464,Yes,Yes
55,1.5,0.1,0.15,0.3,0.06,0.01,0.08,0.45,2.5,0.17658,0.981,Yes,Yes
56,2.5,0.1,0.15,0.3,0.06,0.01,0.08,0.75,4.16666666666667,0.2943,1.635,Yes,Yes
57,2,0.1,0.15,0.3,0.05,0.01,0.08,0.6,4,0.23544,1.5696,Yes,Yes
58,1.5,0.1,0.15,0.3,0.05,0.01,0.08,0.45,3,0.17658,1.1772,Yes,Yes
59,1,0.1,0.15,0.3,0.05,0.01,0.08,0.3,2,0.11772,0.7848,Yes,Yes
60,2.25,0.1,0.15,0.3,0.05,0.01,0.08,0.675,4.5,0.26487,1.7658,Yes,Yes
61,2.75,0.1,0.15,0.3,0.05,0.01,0.08,0.825,5.5,0.32373,2.1582,Yes,Yes
62,2.3,0.1,0.15,0.3,0.05,0.01,0.08,0.69,4.6,0.270756,1.80504,Yes,Yes
63,2.1,0.1,0.15,0.3,0.05,0.01,0.08,0.63,4.2,0.247212,1.64808,Yes,Yes
64,2.2,0.1,0.15,0.3,0.05,0.01,0.08,0.66,4.4,0.258984,1.72656,Yes,Yes
65,2.4,0.1,0.15,0.3,0.05,0.01,0.08,0.72,4.8,0.282528,1.88352,Yes,Yes
